"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","WebAdmin AMV Travel","1","0","Reservas: Canceladas trae columnas y filas","0"
"1","","0","WebAdmin AMV Travel","0","0","Ubicación → Crear Tipo de Puntos de Interés y validar persistencia","0"
"3","","0","WebAdmin AMV Travel","5","0","Finanzas/Contenidos/Widget: grillas de solo lectura traen columnas y filas","0"
"0","","1","WebAdmin AMV Travel","0","0","Reservas: Adm. de Reservas trae columnas y filas","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Amenitie y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Ubicación → Crear Destino y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Adm. de puntos · Agencias: alta de agencia + baja (cleanup)","0"
"1","","0","WebAdmin AMV Travel","0","0","Crear Habitación y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Cotizaciones: crear Grupo y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Crear Tipo de Usuario y validar persistencia","0"
"0","","1","WebAdmin AMV Travel","0","0","Login y validación del inicio del WebAdmin","0"
"1","","0","WebAdmin AMV Travel","0","0","Contenidos → Crear Colaborador y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Comodidad y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","0","1","Crear Cliente Corporativo y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Tipo de servicio y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Adm. de puntos · Productos: alta de regla + baja (cleanup)","0"
"0","","1","WebAdmin AMV Travel","0","0","Adm. de puntos · Configuración: la solapa tiene todos sus controles","0"
"0","","0","WebAdmin AMV Travel","1","0","Finanzas → Crear Mercado y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Galería de Pax y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Tag y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","0","1","Crear Corporativo y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Agencia (2 pasos) y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Ubicación → Crear Restaurante y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Servicio y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Cotizaciones: crear Individual, validar Preview y persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Usuario y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Ubicación → Crear Región y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Ubicación → Crear Tipo de Comida y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Servicio de incentivo y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Salón y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Contenidos → Crear Gift y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Finanzas · Tipos de Cambio: la pantalla carga con sus controles","0"
"1","","0","WebAdmin AMV Travel","0","0","Crear Hotel y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Ubicación → Crear Ciudad y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Característica y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Travel Sale (Circuitos) y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Paquete (Circuitos) y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Oportunidad (Circuitos) y validar persistencia","0"
"1","","0","WebAdmin AMV Travel","0","0","Finanzas → Crear Impuesto (general) y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Vehículo y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Serie (Circuitos) y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Crucero y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Ubicación → Crear Barrio (modal) y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Cabina y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Tipo de Desayuno y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Categoría y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Ubicación → Países: la tabla trae columnas y filas","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Tipo de Habitación y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Reporte de Circuitos: validar que la tabla tiene contenido","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Flota y validar persistencia","0"
"0","","0","WebAdmin AMV Travel","1","0","Crear Tipo de Cabina y validar persistencia","0"
